epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,6634.46,0.76444,0.36462,1.04027,0.99282,0.99455,0.99324,0.83116,0.71922,0.26057,1.03492,0.006271,0.006271,0.006271
115,6692.23,0.7681,0.36247,1.04581,0.99161,0.99374,0.99352,0.83191,0.72744,0.26101,1.03682,0.006238,0.006238,0.006238
116,6749.86,0.76618,0.36479,1.04112,0.99263,0.99552,0.99348,0.83229,0.71823,0.26038,1.03137,0.006205,0.006205,0.006205
117,6807.65,0.76096,0.35664,1.03611,0.99238,0.99402,0.99283,0.83358,0.72233,0.26102,1.03014,0.006172,0.006172,0.006172
118,6865.39,0.76565,0.35721,1.0409,0.99467,0.99367,0.99309,0.83796,0.70942,0.25592,1.02462,0.006139,0.006139,0.006139
119,6923,0.76386,0.35379,1.03793,0.99456,0.9952,0.99136,0.83319,0.71136,0.25948,1.02722,0.006106,0.006106,0.006106
120,6980.59,0.75516,0.35089,1.03795,0.99056,0.99204,0.99233,0.83873,0.71236,0.25691,1.02751,0.006073,0.006073,0.006073
121,7038.32,0.76258,0.35398,1.0449,0.99098,0.99533,0.9926,0.8319,0.72936,0.25652,1.0393,0.00604,0.00604,0.00604
122,7096.11,0.75901,0.35648,1.04339,0.98992,0.99293,0.99242,0.83388,0.71224,0.26156,1.03104,0.006007,0.006007,0.006007
123,7153.88,0.74888,0.34797,1.03288,0.99168,0.99348,0.99285,0.83527,0.71376,0.26079,1.02854,0.005974,0.005974,0.005974
124,7211.7,0.76139,0.3553,1.03883,0.99215,0.9926,0.99271,0.83907,0.70612,0.25514,1.02774,0.005941,0.005941,0.005941
125,7269.37,0.75654,0.35184,1.04079,0.9917,0.99363,0.99346,0.84063,0.70122,0.2508,1.02595,0.005908,0.005908,0.005908
126,7327.23,0.75638,0.35473,1.04108,0.9926,0.994,0.99401,0.83534,0.71346,0.25837,1.02988,0.005875,0.005875,0.005875
127,7384.95,0.7525,0.34955,1.03819,0.99241,0.99435,0.99391,0.83826,0.71048,0.25633,1.02839,0.005842,0.005842,0.005842
128,7442.57,0.75125,0.34771,1.03442,0.98917,0.99311,0.99321,0.84059,0.7066,0.26324,1.02353,0.005809,0.005809,0.005809
129,7500.48,0.75272,0.35143,1.03266,0.99304,0.99485,0.99379,0.84305,0.70965,0.25589,1.02679,0.005776,0.005776,0.005776
130,7558.36,0.7469,0.3527,1.03442,0.99352,0.99517,0.99342,0.84106,0.70081,0.2509,1.02134,0.005743,0.005743,0.005743
131,7616.08,0.74267,0.34542,1.03445,0.99469,0.99673,0.99274,0.83815,0.70527,0.24967,1.02285,0.00571,0.00571,0.00571
132,7673.72,0.74986,0.34362,1.03726,0.99384,0.99471,0.99373,0.84144,0.70611,0.25182,1.02552,0.005677,0.005677,0.005677
133,7731.65,0.74545,0.34796,1.03191,0.995,0.99544,0.99324,0.8374,0.70308,0.24997,1.02516,0.005644,0.005644,0.005644
134,7789.31,0.74188,0.34808,1.03067,0.99392,0.99446,0.99372,0.83815,0.7059,0.2504,1.02508,0.005611,0.005611,0.005611
135,7846.89,0.74042,0.34479,1.02962,0.99369,0.99678,0.9936,0.83993,0.70725,0.25006,1.02403,0.005578,0.005578,0.005578
136,7904.81,0.74703,0.34472,1.0353,0.99347,0.9946,0.99348,0.83995,0.69895,0.24968,1.02058,0.005545,0.005545,0.005545
137,7962.5,0.73652,0.33983,1.03208,0.99341,0.99426,0.99342,0.83867,0.70484,0.25114,1.02494,0.005512,0.005512,0.005512
138,8020.45,0.74119,0.3412,1.03706,0.99316,0.99321,0.99338,0.84071,0.70445,0.2486,1.02144,0.005479,0.005479,0.005479
139,8078.14,0.74276,0.33752,1.03333,0.99503,0.99451,0.99362,0.84071,0.70826,0.24673,1.02429,0.005446,0.005446,0.005446
140,8135.82,0.73453,0.33925,1.02608,0.99311,0.9929,0.99286,0.84341,0.70043,0.25241,1.02143,0.005413,0.005413,0.005413
141,8193.36,0.74492,0.34194,1.03405,0.98801,0.99626,0.99397,0.83986,0.70268,0.25121,1.02393,0.00538,0.00538,0.00538
142,8251.09,0.73749,0.33971,1.02662,0.99378,0.99304,0.99449,0.8437,0.69928,0.24666,1.02228,0.005347,0.005347,0.005347
143,8308.72,0.73952,0.34242,1.03167,0.99304,0.99332,0.99426,0.84256,0.6935,0.24644,1.01883,0.005314,0.005314,0.005314
144,8366.58,0.72703,0.33842,1.03157,0.99232,0.99374,0.99281,0.83957,0.69993,0.2497,1.01976,0.005281,0.005281,0.005281
145,8424.27,0.73893,0.33986,1.02225,0.99208,0.995,0.99301,0.84195,0.69479,0.24776,1.01838,0.005248,0.005248,0.005248
146,8481.93,0.7223,0.33264,1.01953,0.99357,0.99288,0.99391,0.84351,0.69972,0.24878,1.01966,0.005215,0.005215,0.005215
147,8539.51,0.74075,0.33897,1.03052,0.99388,0.99421,0.99412,0.84329,0.69516,0.24291,1.01849,0.005182,0.005182,0.005182
148,8597.25,0.72629,0.33254,1.02063,0.99384,0.99562,0.99413,0.84149,0.69779,0.24498,1.01914,0.005149,0.005149,0.005149
149,8655.03,0.72348,0.33403,1.01923,0.99154,0.99188,0.99359,0.83793,0.70031,0.24858,1.02038,0.005116,0.005116,0.005116
150,8712.77,0.7328,0.33506,1.02676,0.99529,0.9952,0.99347,0.84086,0.69709,0.24129,1.01825,0.005083,0.005083,0.005083
151,8770.45,0.73407,0.33684,1.02989,0.99406,0.99511,0.99371,0.84117,0.69376,0.24203,1.01997,0.00505,0.00505,0.00505
152,8828.31,0.73393,0.33315,1.02805,0.99328,0.9948,0.99301,0.84294,0.69849,0.24726,1.02301,0.005017,0.005017,0.005017
153,8885.95,0.71698,0.33324,1.01899,0.99333,0.99328,0.99371,0.84252,0.69596,0.2445,1.02066,0.004984,0.004984,0.004984
154,8943.48,0.72356,0.33016,1.02215,0.99137,0.99446,0.99249,0.84049,0.69183,0.24794,1.01922,0.004951,0.004951,0.004951
155,9001.06,0.72549,0.33138,1.0201,0.9929,0.99189,0.99187,0.83879,0.68944,0.25223,1.01528,0.004918,0.004918,0.004918
156,9058.64,0.7227,0.32768,1.02156,0.99263,0.99343,0.99286,0.8445,0.68851,0.24538,1.01476,0.004885,0.004885,0.004885
157,9116.47,0.72281,0.33432,1.02227,0.99256,0.9932,0.99264,0.84471,0.68924,0.24879,1.01419,0.004852,0.004852,0.004852
158,9174.2,0.72084,0.33056,1.02119,0.99178,0.99416,0.99205,0.84507,0.68257,0.24312,1.01189,0.004819,0.004819,0.004819
159,9232.11,0.72001,0.32994,1.02591,0.99354,0.99441,0.99333,0.84406,0.68114,0.24101,1.01258,0.004786,0.004786,0.004786
160,9290.16,0.71335,0.32867,1.02306,0.99232,0.99509,0.99351,0.84399,0.68862,0.243,1.01643,0.004753,0.004753,0.004753
161,9347.83,0.71407,0.3266,1.02256,0.9943,0.9954,0.99417,0.84413,0.68614,0.24107,1.01266,0.00472,0.00472,0.00472
162,9405.64,0.71244,0.32696,1.01457,0.99287,0.99462,0.99355,0.84392,0.68263,0.24389,1.01051,0.004687,0.004687,0.004687
163,9463.55,0.70883,0.31993,1.01728,0.99204,0.99472,0.99389,0.8478,0.67624,0.24336,1.00791,0.004654,0.004654,0.004654
164,9521.6,0.70841,0.3203,1.01554,0.99303,0.99513,0.99382,0.84929,0.67538,0.23756,1.00805,0.004621,0.004621,0.004621
165,9579.39,0.71617,0.32617,1.01832,0.99406,0.99499,0.9935,0.84793,0.68384,0.23857,1.01269,0.004588,0.004588,0.004588
166,9637.4,0.71079,0.32059,1.01698,0.99388,0.99522,0.99361,0.84945,0.67736,0.23922,1.0109,0.004555,0.004555,0.004555
167,9695.24,0.70935,0.3206,1.01725,0.99423,0.9925,0.99364,0.85235,0.66889,0.23986,1.00695,0.004522,0.004522,0.004522
168,9753.12,0.7093,0.32511,1.01563,0.99337,0.99325,0.99325,0.84822,0.6752,0.24044,1.00878,0.004489,0.004489,0.004489
169,9810.69,0.70486,0.31688,1.01598,0.99229,0.99451,0.99283,0.84942,0.68194,0.24022,1.01134,0.004456,0.004456,0.004456
170,9868.64,0.70404,0.31861,1.00805,0.99242,0.99377,0.99288,0.84897,0.68164,0.24051,1.00893,0.004423,0.004423,0.004423
171,9926.37,0.70276,0.32019,1.01231,0.99252,0.99441,0.99356,0.85132,0.67786,0.23887,1.00711,0.00439,0.00439,0.00439
172,9984.14,0.70046,0.32014,1.00802,0.99205,0.99494,0.99287,0.84768,0.67957,0.24234,1.00844,0.004357,0.004357,0.004357
173,10041.9,0.70183,0.32335,1.0126,0.99424,0.99535,0.99274,0.85086,0.67193,0.23826,1.00629,0.004324,0.004324,0.004324
174,10099.7,0.69652,0.31788,1.0156,0.99401,0.99284,0.99336,0.85119,0.66999,0.2367,1.00543,0.004291,0.004291,0.004291
175,10157.6,0.70473,0.32069,1.01883,0.99382,0.99419,0.99291,0.85363,0.67237,0.23799,1.00597,0.004258,0.004258,0.004258
176,10215.2,0.69079,0.31634,1.00786,0.99328,0.99432,0.99282,0.85134,0.67008,0.23907,1.00663,0.004225,0.004225,0.004225
177,10273,0.6949,0.3153,1.00812,0.9933,0.99353,0.99288,0.85155,0.67439,0.24036,1.009,0.004192,0.004192,0.004192
178,10330.8,0.69272,0.3116,1.00538,0.99312,0.99275,0.9928,0.85137,0.66879,0.23864,1.00665,0.004159,0.004159,0.004159
179,10388.6,0.69564,0.313,1.00905,0.99333,0.99308,0.99315,0.8518,0.67077,0.23766,1.00684,0.004126,0.004126,0.004126
180,10446.4,0.68518,0.31133,1.00387,0.99272,0.99251,0.99303,0.85484,0.66876,0.23874,1.00581,0.004093,0.004093,0.004093
181,10504.2,0.68993,0.3155,1.00718,0.99287,0.99244,0.99303,0.85313,0.66796,0.23581,1.00721,0.00406,0.00406,0.00406
182,10562,0.69547,0.31431,1.00995,0.99284,0.99483,0.99288,0.85466,0.66038,0.23368,1.00271,0.004027,0.004027,0.004027
183,10619.8,0.68423,0.31114,1.00426,0.99169,0.99345,0.9935,0.8567,0.66197,0.23358,1.00383,0.003994,0.003994,0.003994
184,10677.4,0.69008,0.31257,1.0043,0.99317,0.99339,0.99352,0.8563,0.66574,0.23325,1.00552,0.003961,0.003961,0.003961
185,10735,0.68772,0.31014,1.00682,0.99371,0.99515,0.99387,0.85443,0.66385,0.23354,1.0032,0.003928,0.003928,0.003928
186,10792.8,0.68875,0.31489,1.00435,0.99417,0.9942,0.99392,0.85485,0.66368,0.23581,1.00371,0.003895,0.003895,0.003895
187,10850.4,0.68058,0.31242,1.00246,0.99229,0.99483,0.9936,0.85569,0.66044,0.23244,1.00363,0.003862,0.003862,0.003862
188,10908.1,0.67887,0.31251,1.0018,0.99347,0.99362,0.99354,0.85749,0.66197,0.23337,1.00461,0.003829,0.003829,0.003829
